1066,小心打噴嚏
926,朋友圈
1067,製作角色商品
816,胖虎的歌迷信
1068,呼叫項鍊
844,妖怪眼嘴之怪事件
1069,恐怖的正義繩索
879,強迫運動學校
1070,大雄的黑洞
907,胖虎vs.機械胖虎
1071,提醒鳥
673,無敵的超級書包
1072,自組鐵道
950,厄運鑽石
795,後山滑水道
1073,顛倒行星
940,生物摺紙
1074,冒險降落傘
869,加油！妖怪屋
1075,左、直、右、右、左
877,贏獎品牛仔
1076,最有效的消災解厄貼紙
1077,神奇按鍵門
871,點心牧場
1078,製作無人島
955,定時笨彈
1079,自來水果汁變換機
866,我是迷你哆啦
1080,手腳上的迷你頭
983,哆啦輝夜要回月球!?
1081,手到擒來望遠鏡
872,有生命的森林
1082,混合器
1083,讓人情緒高漲的樂團 (2次重製)
1084,大雄的恐龍(中篇)
1085,不能停止快樂扭蛋
961,魔法盒子
1086,在撒哈拉沙漠無法學習
925,忍忍者！機關忍者屋
1087,教訓大人臂章
1088,無人島蹺家記
1089,一二三、木頭人帽
1090,外送電話
1091,用弓箭上學
1092,可進入照片螢幕
1093,令人感動的話
1094,獅王假面危險了
1095,大雄總統誕生！？
1096,瘋狂懷錶
1097,人影閃光燈
1098,德古拉法寶組
1099,剝皮指套
1100,未來相機
1101,測試機器人
1102,野比家盛情款待梨
1103,用間諜衛星追蹤
1104,願望槌
1105,半身外出雲
1106,機器人用紙
1107,大雄漫畫週刊
1108,氣球傳信
1109,透明人眼藥水
1110,升降地板
1111,試著拍奇蹟影片
892,在糖果屋過耶誕節
1112,胖虎的反省・大雄的困擾
587,在哆啦A夢臉上塗鴉
1113,超大型特攝電影「宇宙大魔神」
396,大雄的結婚前夜
1114,好壞平衡注射器
1115,我最討厭金錢！
1116,元旦日出組合
1117,密道原子筆
1118,電視取物黏膠
1119,雪好熱好熱
1120,坐吸塵器去兜風
1121,驅鬼豆
1122,家變成了機器人
1123,山奧村的神秘事件
1124,爭奪戰迴避槍
1125,大雪山來了
1126,爆炸貼紙
1127,用喜好箱進行冬季露營
1128,作一個弟弟
1129,哆啦哆啦兄妹吵架
1130,幸福快樂的行星
1131,精靈手環
1132,模範信筆
1133,志同道合！物以類聚哨子
991,偷窺哆啦A夢吧！
1134,離家出走是快樂的
965,大雄的流星
1135,剛田快送
1136,做自己的老師
1137,櫻花盛開大作戰
1138,誇大的個人檔案
1139,爺島的怪魚獵人
1140,聯想式推理放大鏡
1141,加速發條
1142,大雄是猜謎王
999,人情味調味料
1143,寵物是鯉魚旗
1007,如願稻稈
1144,夏威夷來了
1145,母親節永遠不結束
1146,6000萬元的名畫
1147,延聲糖
1148,要求很多的玩洋娃娃
1149,可愛石頭的故事
1150,要小心眼神
936,如汗以償機
1151,用合成技術創造大雄超人
1152,蒲公英飛向天空
1153,增強集中注意力泡泡安全帽
1005,瓦鬼
1154,父親節喝冒險茶
1155,努力準備討厭的考試
1156,上鎖槌
1157,預感蟲
1158,珍獸來暫住
1159,變換自如！天氣箱
1160,用橡皮擦把臉擦掉
1161,來製作室內水族館！
1162,速成圖形標誌
1163,在雲朵沙發上看運動比賽！
1164,未來的城市只剩一人
1165,拜託蜜蜂會怎麼樣
1166,睡覺發電！大雄電力公司
939,試膽眼鏡
1167,貓咪創立公司
1018,立體拼圖鎚
1168,綜合鬼怪罐頭
938,許願星
1169,用合轍押韻燈去露營
870,魯濱遜漂流組合
1084,大雄的恐龍
1170,大雄的行星探查任務
1171,魔術的用途
1172,銅鑼燒消失的日子
1173,細長的朋友
1174,物歸原主噴霧
1175,月光與蟲鳴
1176,進入夢境槍
1177,惹人喜歡藥片
1178,小夫是理想的哥哥
1179,提前、往後的栗子
1180,租借費
1181,鎮內突破大作戰
1182,穿搭就交給夫卡潘納
1183,超刺激！在百變賽道大賽車
1184,收拾物品展示房間
1185,骨川大師的 Do It Yourself!
1186,主角插入機
1187,真實環遊日本特快車大富翁
1188,靜香的 SOS
1189,延續噴霧
1190,鍛鍊棒球吧
1191,無人之境飲料
